timestamp,number_of_swaps,is_holiday,is_weekend,season
1/4/2015 0:00,182,0,1,3
1/4/2015 1:00,138,0,1,3
1/4/2015 2:00,134,0,1,3
1/4/2015 3:00,72,0,1,3
1/4/2015 4:00,47,0,1,3
1/4/2015 5:00,46,0,1,3
1/4/2015 6:00,51,0,1,3
1/4/2015 7:00,75,0,1,3
1/4/2015 8:00,131,0,1,3
1/4/2015 9:00,301,0,1,3
1/4/2015 10:00,528,0,1,3
1/4/2015 11:00,727,0,1,3
1/4/2015 12:00,862,0,1,3
1/4/2015 13:00,916,0,1,3
1/4/2015 14:00,1039,0,1,3
1/4/2015 15:00,869,0,1,3
1/4/2015 16:00,737,0,1,3
1/4/2015 17:00,594,0,1,3
1/4/2015 18:00,522,0,1,3
1/4/2015 19:00,379,0,1,3
1/4/2015 20:00,328,0,1,3
1/4/2015 21:00,221,0,1,3
1/4/2015 22:00,178,0,1,3
1/4/2015 23:00,157,0,1,3
1/5/2015 0:00,83,0,0,3
1/5/2015 1:00,67,0,0,3
1/5/2015 2:00,32,0,0,3
1/5/2015 3:00,22,0,0,3
1/5/2015 4:00,38,0,0,3
1/5/2015 5:00,81,0,0,3
1/5/2015 6:00,444,0,0,3
1/5/2015 7:00,1597,0,0,3
1/5/2015 8:00,3161,0,0,3
1/5/2015 9:00,1342,0,0,3
1/5/2015 10:00,568,0,0,3
1/5/2015 11:00,584,0,0,3
1/5/2015 12:00,762,0,0,3
1/5/2015 13:00,873,0,0,3
1/5/2015 14:00,672,0,0,3
1/5/2015 15:00,807,0,0,3
1/5/2015 16:00,1192,0,0,3
1/5/2015 17:00,2761,0,0,3
1/5/2015 18:00,2389,0,0,3
1/5/2015 19:00,1274,0,0,3
1/5/2015 20:00,696,0,0,3
1/5/2015 21:00,411,0,0,3
1/5/2015 22:00,324,0,0,3
1/5/2015 23:00,192,0,0,3
1/6/2015 0:00,91,0,0,3
1/6/2015 1:00,73,0,0,3
1/6/2015 2:00,33,0,0,3
1/6/2015 3:00,19,0,0,3
1/6/2015 4:00,40,0,0,3
1/6/2015 5:00,74,0,0,3
1/6/2015 6:00,530,0,0,3
1/6/2015 7:00,1715,0,0,3
1/6/2015 8:00,3534,0,0,3
1/6/2015 9:00,1573,0,0,3
1/6/2015 10:00,635,0,0,3
1/6/2015 11:00,550,0,0,3
1/6/2015 12:00,395,0,0,3
1/6/2015 13:00,426,0,0,3
1/6/2015 14:00,579,0,0,3
1/6/2015 15:00,718,0,0,3
1/6/2015 16:00,1184,0,0,3
1/6/2015 17:00,2662,0,0,3
1/6/2015 18:00,2610,0,0,3
1/6/2015 19:00,1402,0,0,3
1/6/2015 20:00,720,0,0,3
1/6/2015 21:00,494,0,0,3
1/6/2015 22:00,344,0,0,3
1/6/2015 23:00,212,0,0,3
1/7/2015 0:00,102,0,0,3
1/7/2015 1:00,60,0,0,3
1/7/2015 2:00,33,0,0,3
1/7/2015 3:00,26,0,0,3
1/7/2015 4:00,33,0,0,3
1/7/2015 5:00,80,0,0,3
1/7/2015 6:00,526,0,0,3
1/7/2015 7:00,1757,0,0,3
1/7/2015 8:00,3618,0,0,3
1/7/2015 9:00,1714,0,0,3
1/7/2015 10:00,763,0,0,3
1/7/2015 11:00,690,0,0,3
1/7/2015 12:00,913,0,0,3
1/7/2015 13:00,982,0,0,3
1/7/2015 14:00,783,0,0,3
1/7/2015 15:00,794,0,0,3
1/7/2015 16:00,1171,0,0,3
1/7/2015 17:00,2647,0,0,3
1/7/2015 18:00,2579,0,0,3
1/7/2015 20:00,657,0,0,3
1/7/2015 21:00,516,0,0,3
1/7/2015 22:00,414,0,0,3
1/7/2015 23:00,206,0,0,3
1/8/2015 0:00,123,0,0,3
1/8/2015 1:00,56,0,0,3
1/8/2015 2:00,51,0,0,3
1/8/2015 3:00,33,0,0,3
1/8/2015 4:00,32,0,0,3
1/8/2015 5:00,87,0,0,3
1/8/2015 6:00,511,0,0,3
1/8/2015 7:00,982,0,0,3
1/8/2015 8:00,1228,0,0,3
1/8/2015 9:00,573,0,0,3
1/8/2015 10:00,185,0,0,3
1/8/2015 11:00,193,0,0,3
1/8/2015 12:00,522,0,0,3
1/8/2015 13:00,672,0,0,3
1/8/2015 14:00,761,0,0,3
1/8/2015 15:00,781,0,0,3
1/8/2015 16:00,1212,0,0,3
1/8/2015 17:00,2351,0,0,3
1/8/2015 18:00,2110,0,0,3
1/8/2015 19:00,1239,0,0,3
1/8/2015 20:00,752,0,0,3
1/8/2015 21:00,457,0,0,3
1/8/2015 22:00,423,0,0,3
1/8/2015 23:00,267,0,0,3
1/9/2015 0:00,147,0,0,3
1/9/2015 1:00,60,0,0,3
1/9/2015 2:00,65,0,0,3
1/9/2015 3:00,42,0,0,3
1/9/2015 4:00,47,0,0,3
1/9/2015 5:00,85,0,0,3
1/9/2015 6:00,441,0,0,3
1/9/2015 7:00,1593,0,0,3
1/9/2015 8:00,3505,0,0,3
1/9/2015 9:00,1768,0,0,3
1/9/2015 10:00,799,0,0,3
1/9/2015 11:00,806,0,0,3
1/9/2015 12:00,1052,0,0,3
1/9/2015 13:00,1078,0,0,3
1/9/2015 14:00,976,0,0,3
1/9/2015 15:00,912,0,0,3
1/9/2015 16:00,1229,0,0,3
1/9/2015 17:00,2409,0,0,3
1/9/2015 18:00,1983,0,0,3
1/9/2015 19:00,1094,0,0,3
1/9/2015 20:00,686,0,0,3
1/9/2015 21:00,443,0,0,3
1/9/2015 22:00,464,0,0,3
1/9/2015 23:00,420,0,0,3
1/10/2015 0:00,392,0,1,3
1/10/2015 1:00,277,0,1,3
1/10/2015 2:00,189,0,1,3
1/10/2015 3:00,153,0,1,3
1/10/2015 4:00,90,0,1,3
1/10/2015 5:00,52,0,1,3
1/10/2015 6:00,69,0,1,3
1/10/2015 7:00,143,0,1,3
1/10/2015 8:00,321,0,1,3
1/10/2015 9:00,619,0,1,3
1/10/2015 10:00,757,0,1,3
1/10/2015 11:00,800,0,1,3
1/10/2015 12:00,1191,0,1,3
1/10/2015 13:00,1395,0,1,3
1/10/2015 14:00,1358,0,1,3
1/10/2015 15:00,1436,0,1,3
1/10/2015 16:00,1270,0,1,3
1/10/2015 17:00,1054,0,1,3
1/10/2015 18:00,849,0,1,3
1/10/2015 19:00,720,0,1,3
1/10/2015 20:00,556,0,1,3
1/10/2015 21:00,349,0,1,3
1/10/2015 22:00,335,0,1,3
1/10/2015 23:00,334,0,1,3
1/11/2015 0:00,360,0,1,3
1/11/2015 1:00,255,0,1,3
1/11/2015 2:00,198,0,1,3
1/11/2015 3:00,135,0,1,3
1/11/2015 4:00,74,0,1,3
1/11/2015 5:00,57,0,1,3
1/11/2015 6:00,67,0,1,3
1/11/2015 7:00,93,0,1,3
1/11/2015 8:00,241,0,1,3
1/11/2015 9:00,538,0,1,3
1/11/2015 10:00,922,0,1,3
1/11/2015 11:00,1248,0,1,3
1/11/2015 12:00,1555,0,1,3
1/11/2015 13:00,1813,0,1,3
1/11/2015 14:00,1639,0,1,3
1/11/2015 15:00,1464,0,1,3
1/11/2015 16:00,1097,0,1,3
1/11/2015 17:00,827,0,1,3
1/11/2015 18:00,519,0,1,3
1/11/2015 19:00,493,0,1,3
1/11/2015 20:00,315,0,1,3
1/11/2015 21:00,260,0,1,3
1/11/2015 22:00,237,0,1,3
1/11/2015 23:00,168,0,1,3
1/12/2015 0:00,117,0,0,3
1/12/2015 1:00,45,0,0,3
1/12/2015 2:00,29,0,0,3
1/12/2015 3:00,36,0,0,3
1/12/2015 4:00,26,0,0,3
1/12/2015 5:00,86,0,0,3
1/12/2015 6:00,433,0,0,3
1/12/2015 7:00,1541,0,0,3
1/12/2015 8:00,3418,0,0,3
1/12/2015 9:00,1832,0,0,3
1/12/2015 10:00,723,0,0,3
1/12/2015 11:00,654,0,0,3
1/12/2015 12:00,700,0,0,3
